fecha,id_sku,categoria,volumen_litros,formato_envase,cantidad_vendida_total,stock_apertura,ingresos_almacen,stock_disponible_cierre,stock_minimo,precio_unitario_promedio,descuento_total,porcentaje_descuento_promedio,inversion_ads_total,clics_total,impresiones_total,conversiones_total,temperatura_promedio_celsius,temperatura_maxima_celsius,humedad_porcentaje,precipitacion_mm,alerta_ola_calor,numero_dia_semana,mes,trimestre,es_fin_de_semana,es_feriado,es_quincena,es_fin_mes,temporada,ventas_lag1,ventas_lag7,ventas_roll7,ads_lag1,ads_lag3,riesgo_demanda_censurada,fecha_creacion,fecha_modificacion,usuario_modificacion
2024-01-12,SKU_1L,Personal,1.0,Botella,130,501,0,371,180,1.8,26.0,10.0,178.15,2024,118796,78,20.3,24.1,74.0,0.0,False,5,1,1,False,False,False,False,Verano,143,132,147.57,217.34,260.97,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-13,SKU_1L,Personal,1.0,Botella,182,371,0,189,180,1.8,36.4,10.0,192.26,2342,160317,106,20.9,23.4,79.4,0.0,False,6,1,1,True,False,False,False,Verano,130,214,143.0,178.15,151.01,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-14,SKU_1L,Personal,1.0,Botella,181,672,483,491,180,1.8,36.2,10.0,136.39,1941,165475,52,22.2,24.9,78.8,0.0,False,7,1,1,True,False,False,False,Verano,182,162,145.71,192.26,217.34,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-15,SKU_1L,Personal,1.0,Botella,192,491,0,299,180,1.8,38.4,10.0,221.51,2122,167327,86,21.9,25.2,80.0,0.0,False,1,1,1,False,False,True,False,Verano,181,100,158.86,136.39,178.15,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-16,SKU_1L,Personal,1.0,Botella,168,299,0,131,180,1.8,33.6,10.0,303.46,3188,175068,122,22.6,26.7,71.8,0.0,False,2,1,1,False,False,False,False,Verano,192,129,164.43,221.51,192.26,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-17,SKU_1L,Personal,1.0,Botella,190,649,518,459,180,1.8,38.0,10.0,70.25,827,84709,12,22.0,26.4,73.4,0.0,False,3,1,1,False,False,False,False,Verano,168,155,169.43,303.46,136.39,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-18,SKU_1L,Personal,1.0,Botella,192,459,0,267,180,1.8,38.4,10.0,242.33,2158,124964,102,24.5,28.1,70.0,0.0,True,4,1,1,False,False,False,False,Verano,190,143,176.43,70.25,221.51,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-19,SKU_1L,Personal,1.0,Botella,136,267,0,131,180,1.8,27.2,10.0,201.55,2068,120714,80,22.0,25.3,74.8,0.0,False,5,1,1,False,False,False,False,Verano,192,130,177.29,242.33,303.46,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-20,SKU_1L,Personal,1.0,Botella,168,680,549,512,180,1.8,33.6,10.0,228.88,2061,122138,88,21.6,26.0,70.4,0.0,False,6,1,1,True,False,False,False,Verano,136,182,175.29,201.55,70.25,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-21,SKU_1L,Personal,1.0,Botella,153,512,0,359,180,2.0,0.0,0.0,144.2,1135,69959,22,21.4,26.3,74.5,0.0,False,7,1,1,True,False,False,False,Verano,168,181,171.29,228.88,242.33,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-22,SKU_1L,Personal,1.0,Botella,127,1003,644,876,180,2.0,0.0,0.0,84.98,1191,128821,29,22.4,25.3,76.9,0.0,False,1,1,1,False,False,False,False,Verano,153,192,162.0,144.2,201.55,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-23,SKU_1L,Personal,1.0,Botella,122,876,0,754,180,2.0,0.0,0.0,87.53,1189,85726,47,21.7,24.8,75.0,0.0,False,2,1,1,False,False,False,False,Verano,127,168,155.43,84.98,228.88,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-24,SKU_1L,Personal,1.0,Botella,131,754,0,623,180,2.0,0.0,0.0,65.17,919,74359,49,20.2,23.3,79.0,0.0,False,3,1,1,False,False,False,False,Verano,122,190,147.0,87.53,144.2,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-25,SKU_1L,Personal,1.0,Botella,145,623,0,478,180,2.0,0.0,0.0,76.2,853,60218,15,22.3,26.1,77.4,0.0,False,4,1,1,False,False,False,False,Verano,131,192,140.29,65.17,84.98,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-26,SKU_1L,Personal,1.0,Botella,135,478,0,343,180,2.0,0.0,0.0,111.58,1583,153565,76,22.5,25.7,68.9,1.9,False,5,1,1,False,False,False,False,Verano,145,136,140.14,76.2,87.53,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-27,SKU_1L,Personal,1.0,Botella,163,343,0,180,180,2.0,0.0,0.0,124.4,1524,138992,35,22.0,25.2,76.0,0.0,False,6,1,1,True,False,False,False,Verano,135,168,139.43,111.58,65.17,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-28,SKU_1L,Personal,1.0,Botella,169,490,310,321,180,2.0,0.0,0.0,0.0,0,0,0,22.6,27.6,70.8,0.0,False,7,1,1,True,False,False,False,Verano,163,153,141.71,124.4,76.2,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-29,SKU_1L,Personal,1.0,Botella,101,321,0,220,180,2.0,0.0,0.0,0.0,0,0,0,22.1,26.4,79.0,0.0,False,1,1,1,False,False,False,False,Verano,169,127,138.0,0.0,111.58,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-30,SKU_1L,Personal,1.0,Botella,156,220,0,64,180,2.0,0.0,0.0,0.0,0,0,0,23.3,26.0,83.6,0.0,False,2,1,1,False,False,True,False,Verano,101,122,142.86,0.0,124.4,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-01-31,SKU_1L,Personal,1.0,Botella,175,472,408,297,180,2.0,0.0,0.0,0.0,0,0,0,24.2,26.8,77.5,0.0,False,3,1,1,False,False,True,True,Verano,156,131,149.14,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-01,SKU_1L,Personal,1.0,Botella,158,701,404,543,180,2.0,0.0,0.0,0.0,0,0,0,22.1,26.3,77.8,0.0,False,4,2,1,False,False,False,False,Verano,175,145,151.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-02,SKU_1L,Personal,1.0,Botella,106,543,0,437,180,2.0,0.0,0.0,49.07,325,16091,12,22.7,25.5,71.8,0.0,False,5,2,1,False,False,False,False,Verano,158,135,146.86,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-03,SKU_1L,Personal,1.0,Botella,181,437,0,256,180,2.0,0.0,0.0,115.68,1529,58489,32,23.8,28.3,69.5,0.0,True,6,2,1,True,False,False,False,Verano,106,163,149.43,49.07,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-04,SKU_1L,Personal,1.0,Botella,179,256,0,77,180,2.0,0.0,0.0,251.16,2406,136774,67,22.9,27.7,74.3,0.0,False,7,2,1,True,False,False,False,Verano,181,169,150.86,115.68,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-05,SKU_1L,Personal,1.0,Botella,141,554,477,413,180,2.0,0.0,0.0,238.82,2389,212238,76,22.3,26.6,70.5,0.0,False,1,2,1,False,False,False,False,Verano,179,101,156.57,251.16,49.07,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-06,SKU_1L,Personal,1.0,Botella,164,413,0,249,180,2.0,0.0,0.0,235.64,2405,164510,92,23.8,26.6,79.2,0.0,False,2,2,1,False,False,False,False,Verano,141,156,157.71,238.82,115.68,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-07,SKU_1L,Personal,1.0,Botella,176,249,0,73,180,2.0,0.0,0.0,167.77,1914,109150,70,23.7,26.2,71.6,0.0,False,3,2,1,False,False,False,False,Verano,164,175,157.86,235.64,251.16,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-08,SKU_1L,Personal,1.0,Botella,145,530,457,385,180,2.0,0.0,0.0,157.37,1991,139722,66,24.3,27.4,79.2,0.0,False,4,2,1,False,False,False,False,Verano,176,158,156.0,167.77,238.82,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-09,SKU_1L,Personal,1.0,Botella,147,385,0,238,180,2.0,0.0,0.0,288.24,3776,218311,170,24.5,28.6,70.5,0.0,True,5,2,1,False,False,False,False,Verano,145,106,161.86,157.37,235.64,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-10,SKU_1L,Personal,1.0,Botella,199,238,0,39,180,2.0,0.0,0.0,260.09,2789,184647,119,23.0,26.4,75.7,0.0,False,6,2,1,True,False,False,False,Verano,147,181,164.43,288.24,167.77,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-11,SKU_1L,Personal,1.0,Botella,172,491,452,319,180,2.0,0.0,0.0,285.6,3492,226378,73,23.7,28.4,75.9,0.0,True,7,2,1,True,False,False,False,Verano,199,179,163.43,260.09,157.37,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-12,SKU_1L,Personal,1.0,Botella,199,319,0,120,180,1.76,47.76,12.0,250.98,2629,189981,72,26.0,29.7,72.8,0.0,True,1,2,1,False,False,False,False,Verano,172,141,171.71,285.6,288.24,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-13,SKU_1L,Personal,1.0,Botella,168,537,417,369,180,1.76,40.32,12.0,183.63,1756,129216,36,23.0,27.9,77.0,0.0,False,2,2,1,False,False,False,False,Verano,199,164,172.29,250.98,260.09,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-14,SKU_1L,Personal,1.0,Botella,191,369,0,178,180,1.76,45.84,12.0,102.74,1103,78357,27,23.9,28.8,77.3,0.0,True,3,2,1,False,False,False,False,Verano,168,176,174.43,183.63,285.6,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-15,SKU_1L,Personal,1.0,Botella,214,641,463,427,180,1.76,51.36,12.0,242.76,2161,112914,81,23.4,28.0,68.7,0.0,False,4,2,1,False,False,True,False,Verano,191,145,184.29,102.74,250.98,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-16,SKU_1L,Personal,1.0,Botella,209,427,0,218,180,1.76,50.16,12.0,264.8,3056,204139,78,24.7,28.9,74.0,0.0,True,5,2,1,False,False,False,False,Verano,214,147,193.14,242.76,183.63,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-17,SKU_1L,Personal,1.0,Botella,218,218,0,0,180,1.76,52.32,12.0,48.78,724,32119,36,24.2,28.9,69.4,0.0,True,6,2,1,True,False,False,False,Verano,209,199,195.86,264.8,102.74,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-18,SKU_1L,Personal,1.0,Botella,208,334,334,126,180,1.76,49.92,12.0,271.29,2738,168381,106,23.5,26.7,80.2,0.0,False,7,2,1,True,False,False,False,Verano,218,172,201.0,48.78,242.76,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-19,SKU_1L,Personal,1.0,Botella,181,521,395,340,180,2.0,0.0,0.0,261.83,2955,166736,129,24.7,29.2,89.0,0.0,True,1,2,1,False,False,False,False,Verano,208,199,198.43,271.29,264.8,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-20,SKU_1L,Personal,1.0,Botella,156,340,0,184,180,2.0,0.0,0.0,196.64,2097,77694,71,24.6,27.9,74.4,0.0,False,2,2,1,False,False,False,False,Verano,181,168,196.71,261.83,48.78,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-21,SKU_1L,Personal,1.0,Botella,156,736,552,580,180,2.0,0.0,0.0,159.32,1630,65345,58,24.1,27.7,74.5,0.0,False,3,2,1,False,False,False,False,Verano,156,191,191.71,196.64,271.29,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-22,SKU_1L,Personal,1.0,Botella,144,1010,430,866,180,2.0,0.0,0.0,162.14,1718,78103,62,24.2,26.8,74.3,0.0,False,4,2,1,False,False,False,False,Verano,156,214,181.71,159.32,261.83,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-23,SKU_1L,Personal,1.0,Botella,202,866,0,664,180,2.0,0.0,0.0,164.56,1676,78769,29,24.6,29.1,69.3,0.0,True,5,2,1,False,False,False,False,Verano,144,209,180.71,162.14,196.64,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-24,SKU_1L,Personal,1.0,Botella,217,664,0,447,180,2.0,0.0,0.0,143.33,1676,103750,62,26.6,30.7,79.3,0.0,True,6,2,1,True,False,False,False,Verano,202,218,180.57,164.56,159.32,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-25,SKU_1L,Personal,1.0,Botella,157,447,0,290,180,2.0,0.0,0.0,82.22,1570,102491,66,23.1,27.6,75.8,0.0,False,7,2,1,True,False,False,False,Verano,217,208,173.29,143.33,162.14,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-26,SKU_1L,Personal,1.0,Botella,134,290,0,156,180,2.0,0.0,0.0,37.97,660,30128,18,24.2,27.1,80.7,0.0,False,1,2,1,False,False,False,False,Verano,157,181,166.57,82.22,164.56,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-27,SKU_1L,Personal,1.0,Botella,217,719,563,502,180,2.0,0.0,0.0,81.23,1256,58184,28,26.3,30.4,73.8,0.0,True,2,2,1,False,False,False,False,Verano,134,156,175.29,37.97,143.33,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-28,SKU_1L,Personal,1.0,Botella,162,502,0,340,180,2.0,0.0,0.0,60.07,777,55479,27,25.2,29.2,79.7,0.0,True,3,2,1,False,False,False,False,Verano,217,156,176.14,81.23,82.22,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-02-29,SKU_1L,Personal,1.0,Botella,168,340,0,172,180,2.0,0.0,0.0,0.0,0,0,0,26.0,28.5,69.6,0.0,True,4,2,1,False,False,False,True,Verano,162,144,179.57,60.07,37.97,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-01,SKU_1L,Personal,1.0,Botella,119,551,379,432,180,2.0,0.0,0.0,0.0,0,0,0,24.9,27.6,80.9,0.0,False,5,3,1,False,False,False,False,Verano,168,202,167.71,0.0,81.23,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-02,SKU_1L,Personal,1.0,Botella,192,432,0,240,180,2.0,0.0,0.0,0.0,0,0,0,24.9,28.4,68.4,0.0,True,6,3,1,True,False,False,False,Verano,119,217,164.14,0.0,60.07,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-03,SKU_1L,Personal,1.0,Botella,196,240,0,44,180,2.0,0.0,0.0,200.95,2336,238044,75,25.1,29.1,71.4,0.0,True,7,3,1,True,False,False,False,Verano,192,157,169.71,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-04,SKU_1L,Personal,1.0,Botella,152,589,545,437,180,2.0,0.0,0.0,202.21,1813,113019,62,24.4,27.1,75.7,1.8,False,1,3,1,False,False,False,False,Verano,196,134,172.29,200.95,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-05,SKU_1L,Personal,1.0,Botella,190,437,0,247,180,2.0,0.0,0.0,117.52,609,30332,9,25.4,28.8,75.6,0.0,True,2,3,1,False,False,False,False,Verano,152,217,168.43,202.21,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-06,SKU_1L,Personal,1.0,Botella,196,247,0,51,180,2.0,0.0,0.0,332.94,4214,240197,138,25.9,29.4,72.8,0.0,True,3,3,1,False,False,False,False,Verano,190,162,173.29,117.52,200.95,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-07,SKU_1L,Personal,1.0,Botella,203,510,459,307,180,2.0,0.0,0.0,239.54,2525,217371,105,25.6,28.3,70.3,0.0,True,4,3,1,False,False,False,False,Verano,196,168,178.29,332.94,202.21,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-08,SKU_1L,Personal,1.0,Botella,221,616,309,395,180,2.0,0.0,0.0,241.27,2155,143149,81,25.0,29.2,71.9,0.0,True,5,3,1,False,False,False,False,Verano,203,119,192.86,239.54,117.52,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-09,SKU_1L,Personal,1.0,Botella,233,395,0,162,180,2.0,0.0,0.0,210.31,2632,204202,83,26.2,29.4,74.8,0.0,True,6,3,1,True,False,False,False,Verano,221,192,198.71,241.27,332.94,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-10,SKU_1L,Personal,1.0,Botella,212,542,380,330,180,2.0,0.0,0.0,284.27,3382,317272,149,24.1,28.6,69.2,0.0,True,7,3,1,True,False,False,False,Verano,233,196,201.0,210.31,239.54,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-11,SKU_1L,Personal,1.0,Botella,175,330,0,155,180,2.0,0.0,0.0,226.1,2437,140840,71,25.4,29.8,77.3,0.0,True,1,3,1,False,False,False,False,Verano,212,152,204.29,284.27,241.27,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-12,SKU_1L,Personal,1.0,Botella,198,554,399,356,180,2.0,0.0,0.0,309.04,3758,242322,140,25.7,30.2,76.4,0.0,True,2,3,1,False,False,False,False,Verano,175,190,205.43,226.1,210.31,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-13,SKU_1L,Personal,1.0,Botella,190,356,0,166,180,2.0,0.0,0.0,255.94,2668,138096,108,26.0,30.8,71.9,0.0,True,3,3,1,False,False,False,False,Verano,198,196,204.57,309.04,284.27,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-14,SKU_1L,Personal,1.0,Botella,159,735,569,576,180,2.0,0.0,0.0,164.32,1446,63186,43,24.3,27.6,72.1,0.0,False,4,3,1,False,False,False,False,Verano,190,203,198.29,255.94,226.1,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-15,SKU_1L,Personal,1.0,Botella,207,576,0,369,180,2.0,0.0,0.0,319.09,3666,244293,98,26.3,29.0,74.6,0.0,True,5,3,1,False,False,True,False,Verano,159,221,196.29,164.32,309.04,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-16,SKU_1L,Personal,1.0,Botella,191,369,0,178,180,2.0,0.0,0.0,84.24,890,46644,36,24.2,28.9,81.1,0.0,True,6,3,1,True,False,False,False,Verano,207,233,190.29,319.09,255.94,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-17,SKU_1L,Personal,1.0,Botella,222,603,425,381,180,2.0,0.0,0.0,153.69,1831,116270,80,26.2,30.3,69.9,0.0,True,7,3,1,True,False,False,False,Verano,191,212,191.71,84.24,164.32,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-18,SKU_1L,Personal,1.0,Botella,151,381,0,230,180,2.0,0.0,0.0,0.0,0,0,0,25.6,30.2,73.6,0.0,True,1,3,1,False,False,False,False,Verano,222,175,188.29,153.69,319.09,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-19,SKU_1L,Personal,1.0,Botella,171,230,0,59,180,2.0,0.0,0.0,0.0,0,0,0,24.8,29.4,67.8,0.0,True,2,3,1,False,False,False,False,Verano,151,198,184.43,0.0,84.24,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-20,SKU_1L,Personal,1.0,Botella,165,447,388,282,180,2.0,0.0,0.0,0.0,0,0,0,25.5,28.2,78.3,0.0,True,3,3,1,False,False,False,False,Verano,171,190,180.86,0.0,153.69,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-21,SKU_1L,Personal,1.0,Botella,165,282,0,117,180,2.0,0.0,0.0,0.0,0,0,0,26.8,29.5,71.1,1.5,True,4,3,1,False,False,False,False,Verano,165,159,181.71,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-22,SKU_1L,Personal,1.0,Botella,235,539,422,304,180,2.0,0.0,0.0,0.0,0,0,0,26.4,30.7,68.8,0.0,True,5,3,1,False,False,False,False,Verano,165,207,185.71,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-23,SKU_1L,Personal,1.0,Botella,187,304,0,117,180,2.0,0.0,0.0,0.0,0,0,0,25.0,29.7,69.9,0.0,True,6,3,1,True,False,False,False,Verano,235,191,185.14,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-24,SKU_1L,Personal,1.0,Botella,191,465,348,274,180,2.0,0.0,0.0,0.0,0,0,0,26.4,29.0,72.1,0.0,True,7,3,1,True,False,False,False,Verano,187,222,180.71,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-25,SKU_1L,Personal,1.0,Botella,230,274,0,44,180,2.0,0.0,0.0,0.0,0,0,0,28.0,32.3,72.2,0.0,True,1,3,1,False,False,False,False,Verano,191,151,192.0,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-26,SKU_1L,Personal,1.0,Botella,174,372,328,198,180,2.0,0.0,0.0,0.0,0,0,0,27.0,29.6,72.3,0.0,True,2,3,1,False,False,False,False,Verano,230,171,192.43,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-27,SKU_1L,Personal,1.0,Botella,199,736,538,537,180,2.0,0.0,0.0,0.0,0,0,0,26.2,30.3,76.1,0.0,True,3,3,1,False,False,False,False,Verano,174,165,197.29,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-28,SKU_1L,Personal,1.0,Botella,210,537,0,327,180,2.0,0.0,0.0,0.0,0,0,0,24.6,28.6,71.5,0.0,True,4,3,1,False,True,False,False,Verano,199,165,203.71,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
2024-03-29,SKU_1L,Personal,1.0,Botella,178,327,0,149,180,2.0,0.0,0.0,0.0,0,0,0,24.8,29.4,74.9,0.0,True,5,3,1,False,True,False,False,Verano,210,235,195.57,0.0,0.0,False,2026-05-31 02:43:34.222205,2026-05-31 02:43:34.222205,postgres
